GOSPA MOBILENETV2 NETWORK PERF -- all conv layers, real apple-80 tensors
N_PE=32 N_MULTS=4 (128 multipliers)  STAGE1_BATCH=4 FILL_W=16 S2_BEATS=4  (linear classifier not mapped)
dw layers: 1-active-PE mapping (depthwise gap); all layers golden-checked

  # type        HxH  Cin  Cout    useMACs    cycles  pre%  load%  pipe%  drn%  pipeU%  e2eU%
--------------------------------------------------------------------------------------------
  0 conv3x3s2    80    3    32    1027158     11129   7.4    0.0   92.3   0.3    78.1   72.1
  1 dw3x3s1     130   32    32     238830     34119  12.8    0.0   86.8   0.5     6.3    5.5
  2 pw1x1      1600   32    16     494864      9404  15.7    0.0   84.0   0.3    48.9   41.1
  3 pw1x1        40   16    96    2243925     19334   3.4    0.0   96.2   0.5    94.3   90.7
  4 dw3x3s2     129   96    96     203820     37416  35.3    0.0   63.9   0.7     6.7    4.3
  5 pw1x1       400   96    24     552774      6676  11.3    0.0   88.6   0.2    73.0   64.7
  6 pw1x1       400   24   144    1310115     14174  16.2    0.0   83.4   0.4    86.6   72.2
  7 dw3x3s1      66  144   144     306499     42939  14.2    0.0   85.0   0.9     6.6    5.6
  8 pw1x1       400  144    24     769145      9379  11.8    0.0   88.0   0.1    72.8   64.1
  9 pw1x1       400   24   144    1319662     14360  16.4    0.0   83.1   0.4    86.3   71.8
 10 dw3x3s2      65  144   144      59239     14312  33.8    0.0   64.6   1.5     5.0    3.2
 11 pw1x1       100  144    32     330275      3108  12.4    0.0   87.4   0.2    95.0   83.0
 12 pw1x1       100   32   192     595018      5975  14.2    0.0   85.1   0.7    91.5   77.8
 13 dw3x3s1      34  192   192      81192     15409  17.0    0.0   81.3   1.7     5.1    4.1
 14 pw1x1       100  192    32     281955      2830  16.7    0.0   83.1   0.2    93.7   77.8
 15 pw1x1       100   32   192     594653      5964  14.1    0.0   85.2   0.7    91.4   77.9
 16 dw3x3s1      34  192   192      72858     14485  16.7    0.0   81.5   1.8     4.8    3.9
 17 pw1x1       100  192    32     275130      2738  16.0    0.0   83.7   0.3    93.8   78.5
 18 pw1x1       100   32   192     590776      5952  14.3    0.0   85.0   0.7    91.3   77.5
 19 dw3x3s2      65  192   192      15635      8047  27.3    0.0   70.4   2.3     2.2    1.5
 20 pw1x1        64  192    64     248376      2747  18.5    0.0   81.0   0.4    87.2   70.6
 21 pw1x1        25   64   384     592819      6875  15.3    0.0   83.6   1.0    80.6   67.4
 22 dw3x3s1      34  384   384      22291     14526  17.0    0.0   80.9   2.1     1.5    1.2
 23 pw1x1        64  384    64     289494      3146  11.6    0.0   88.0   0.4    81.7   71.9
 24 pw1x1        25   64   384     591993      6852  15.4    0.0   83.5   1.1    80.8   67.5
 25 dw3x3s1      34  384   384      17612     12286  18.7    0.0   78.8   2.5     1.4    1.1
 26 pw1x1        64  384    64     280899      3104  12.0    0.0   87.6   0.4    80.7   70.7
 27 pw1x1        25   64   384     594095      6888  15.3    0.0   83.6   1.0    80.6   67.4
 28 dw3x3s1      34  384   384      15014     10840  20.1    0.0   77.0   3.0     1.4    1.1
 29 pw1x1        64  384    64     277591      3074  11.5    0.0   88.1   0.4    80.1   70.5
 30 pw1x1        25   64   384     600126      6996  15.1    0.0   83.9   1.0    79.9   67.0
 31 dw3x3s1      34  384   384      19307     13974  17.0    0.0   80.8   2.2     1.3    1.1
 32 pw1x1        64  384    96     559844      5814  11.2    0.0   88.5   0.3    85.0   75.2
 33 pw1x1        25   96   576    1322028     14795  15.2    0.0   84.1   0.7    83.0   69.8
 34 dw3x3s1      34  576   576      21967     16093  20.2    0.0   76.8   3.0     1.4    1.1
 35 pw1x1        64  576    96     578906      6255   8.0    0.0   91.7   0.3    78.8   72.3
 36 pw1x1        25   96   576    1308807     14814  15.2    0.0   84.1   0.7    82.1   69.0
 37 dw3x3s1      34  576   576      20167     15452  20.7    0.0   76.1   3.1     1.3    1.0
 38 pw1x1        64  576    96     610240      6621   7.7    0.0   92.0   0.3    78.3   72.0
 39 pw1x1        25   96   576    1327910     14832  15.2    0.0   84.1   0.7    83.2   69.9
 40 dw3x3s2      33  576   576       7174      7188  41.4    0.0   52.1   6.6     1.5    0.8
 41 pw1x1        64  576   160     653606      8159   9.2    0.0   90.4   0.4    69.2   62.6
 42 pw1x1        49  160   960    1276502     18599  20.5    0.0   78.9   0.6    68.0   53.6
 43 dw3x3s1      18  960   960       4673     14517  30.6    0.0   65.4   4.1     0.4    0.3
 44 pw1x1        64  960   160     621621     10955   5.7    0.0   94.0   0.3    47.1   44.3
 45 pw1x1        49  160   960    1283072     18540  20.6    0.0   78.8   0.6    68.6   54.1
 46 dw3x3s1      18  960   960       3901     12972  33.3    0.0   62.1   4.5     0.4    0.2
 47 pw1x1        64  960   160     560955     10860   5.3    0.0   94.4   0.3    42.7   40.4
 48 pw1x1        49  160   960    1249035     17940  20.9    0.0   78.4   0.7    69.4   54.4
 49 dw3x3s1      18  960   960       2139      9500  43.2    0.0   50.0   6.8     0.4    0.2
 50 pw1x1        64  960   320    2488997     30210   5.1    0.0   94.7   0.2    68.0   64.4
 51 pw1x1        64  320  1280    3562915     45920  14.0    0.0   85.5   0.5    70.9   60.6
--------------------------------------------------------------------------------------------
  conv : useful=    1027158  cycles=    11129  e2e util= 72.1%  (2% of runtime)
  dw   : useful=    1112318  cycles=   294075  e2e util=  3.0%  (44% of runtime)
  pw   : useful=   30238123  cycles=   363890  e2e util= 64.9%  (54% of runtime)

NETWORK: useful MACs=32377599  cycles=669094  util=37.8%  latency=6.69 ms @100MHz  (149.5 fps)
